 | Backend     | NITEMS    | PADLENGTH | Insert Time   | Search Time   |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  10       |    1      |  4.9896e-05   |    9.342e-06  |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  10       |    2      |  4.6727e-05   |    1.0637e-05 |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  10       |    4      |  4.6451e-05   |    1.0908e-05 |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  10       |    8      |  4.8959e-05   |    1.24e-05   |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  100      |    1      |  0.000354334  |   0.000251874 |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  100      |    2      |  0.000381481  |   0.000269002 |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  100      |    4      | 0.000389108   |   0.000279517 |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  100      |    8      |  0.000435789  |   0.000286852 |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  1000     |    1      |  0.020564     |     0.0195774 |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  1000     |    2      |   0.0206464   |      0.019323 |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  1000     |    4      |  0.021222     |    0.0199987  |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  1000     |    8      |  0.0216476    |    0.0207721  |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  10000    |    1      |  2.11725      |    2.08488    |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  10000    |    2      |  2.15269      |    2.1365     |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  10000    |    4      |  2.13235      |    2.09653    |
 |-------------|-----------|-----------|---------------|---------------|
 |   UNSORTED  |  10000    |    8      |  2.31549      |    2.33255    |
 |-------------|-----------|-----------|---------------|---------------|
